customer_id,name,email,city,country
0,Dennis Davis,james90@example.org,Matthewshaven,Saint Pierre and Miquelon
1,Susan Lawson,uharris@example.net,Lake Joshua,Barbados
2,Lisa Hines,kellieguzman@example.com,North Tonyashire,Mauritius
3,Theresa Simmons,teresalee@example.org,Weststad,Chad
4,Rachel Garcia,kylie06@example.org,Holmesburgh,Costa Rica
5,Alexis Baker,mzimmerman@example.net,Lake Christopherfurt,British Virgin Islands
6,Karen Archer,olivia97@example.net,Adamsmouth,Djibouti
7,Brian Williams,cbentley@example.net,South Karenview,Antarctica (the territory South of 60 deg S)
8,Donald Hernandez,youngjustin@example.net,West Stephaniechester,Chad
9,Natalie Adams,smiller@example.net,Danielburgh,Grenada
10,Jessica Christensen,bfarrell@example.com,Meganhaven,Honduras
11,John Mcpherson,sharpcatherine@example.org,Erikabury,Italy
12,Cynthia Sweeney,davidedwards@example.com,Melissaville,Bhutan
13,William Summers,whitelee@example.org,Rickbury,Greenland
14,Lucas Reed,ynorman@example.net,Port Jessicatown,Marshall Islands
15,Brandon Bowen DDS,karen18@example.com,South John,Mayotte
16,Zachary Murphy,hernandezjoshua@example.com,West Chelseaberg,San Marino
17,Brandon Valencia,lewiskeith@example.net,East Davidchester,Switzerland
18,Jason Burton,penacatherine@example.net,Susanbury,Tajikistan
19,David Young,williamsonjustin@example.com,West Victoriabury,Uzbekistan
20,Karen Nichols,thomaslee@example.net,Tammybury,Netherlands Antilles
21,Harold Velez,peter64@example.com,Obrienburgh,Saint Lucia
22,Vincent Diaz,nwillis@example.net,Adamsside,Saint Helena
23,Timothy Vincent,hunterellis@example.net,Joelborough,Albania
24,Valerie Randall,anoble@example.com,Lake Kyle,Cocos (Keeling) Islands
25,Jeremy Johnson,jbryant@example.com,Douglaston,Uganda
26,Barbara Tanner,thomasgabriel@example.org,Colemanmouth,Tanzania
27,Jacob Mcintyre,colemankelly@example.net,East Wesley,Costa Rica
28,Brian Harvey,christian67@example.org,Sandrafurt,Albania
29,Terri Bryant,timothy54@example.com,Sierraview,Marshall Islands
30,Jessica Bailey,douglas74@example.com,Hamiltonview,Mayotte
31,Molly Martin,stacyclark@example.com,Port Rogerbury,Kiribati
32,Daniel George,amandabarrett@example.com,Lake John,Mongolia
